,,,,,
,Property Type,House,,,
,,z,,,
,Check-In,Self Checkin via Lockbox,,,
,,z,,,
,House Rules,Maximum Occupancy: 12,Children Welcome,Infants Welcome,Dog Allowed
,,Minimum Age to Book: 24,Smoking Not Allowed,Parties Not Allowed,
,,z,,,
,Setting & View,Near Beach < 5-minute walk,,,
,,z,,,
,General,Fully-Loaded Luxury Kitchen,Free Wifi Internet,Air Conditioning,Central Heating
,,Iron & Board,Washer and Dryer,Ceiling Fans,Pack 'n Play
,,Linen Provided,Towels Provided,Hair Dryer,Toilet Paper
,,Shampoo & Conditioner,Body Wash,Beach Towels,Extra Pillows & Blankets
,,z,,,
,Kitchen,Refrigerator,Microwave,Stove,Air Fryer Convection Oven
,,Dishwasher,Dishes & Utensils,Pot & Pans,Cups & Wine Glasses
,,Crockpot,Instant Pot,Waffle Maker,Bread Maker
,,Toaster,Blender,Spices/Pantry Items,Keurig & Drip Coffee Machines
,,Dining Table Sits 8,Kitchen Island Sits 6,High Chair,
,,z,,,
,Bathrooms,2 Bathrooms (2 Full),,,
,,z,,,
,Sleeping Arrangements,"3 Bedrooms, Sleeps up to 12",Bedroom 1 – 1 King Bed,Bedroom 2 – 1 Queen bed,Bedroom 3 – 2 Full Over Full Bunk Beds
,,Living Room - 1 Queen Sofa Bed,,,
,,z,,,
,Entertainment,4K Roku Smart TV’s,Nintendo Switch with Mario games,Arcade Console with 12 games,Blu-ray Player with Family Movies
,,Board Games,Foosball table,2-Player Basketball Shootout,Giant Connect Four
,,Corn Hole,Ladder Ball Toss,,
,,z,,,
,Outdoor,Hot Tub,Fire Pit,Weber Charcoal Grill ,Deck/Patio
,,Tiki Bar with TV,Outdoor Sink & Shower,Picnic Table,Outdoor Seating
,,Lounge Chairs,String Lights,Beach Essentials,Spacious Yard
,,z,,,
,Parking,Free Parking,,,
,,z,,,
,Safety,Smoke Detector,Carbon Monoxide Detector,Fire Extinguisher,First Aid Kit
,,z,,,
,Expectations,Requires Stairs,Cameras/Surveillance ,,
